sentence,sentiment,polarity,subjectivity,index
"
Madam Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States � (applause) � and my fellow Americans:
We meet tonight at a moment of unlimited potential.","Sentiment(polarity=0.125, subjectivity=0.6666666666666666)",0.125,0.666666667,1
"As we begin a new Congress, I stand here ready to work with you to achieve historic breakthroughs for all Americans.","Sentiment(polarity=0.11212121212121212, subjectivity=0.3181818181818182)",0.112121212,0.318181818,2
"Millions of our fellow citizens are watching us now, gathered in this great chamber, hoping that we will govern not as two parties but as one nation.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,3
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,4
The agenda I will lay out this evening is not a Republican agenda or a Democrat agenda.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,5
It's the agenda of the American people.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,6
"Many of us have campaigned on the same core promises: to defend American jobs and demand fair trade for American workers; to rebuild and revitalize our nation's infrastructure; to reduce the price of healthcare and prescription drugs; to create an immigration system that is safe, lawful, modern, and secure; and to pursue a foreign policy that puts America's interests first.","Sentiment(polarity=0.22045454545454543, subjectivity=0.30757575757575756)",0.220454545,0.307575758,7
"There is a new opportunity in American politics, if only we have the courage, together, to seize it.","Sentiment(polarity=0.04545454545454545, subjectivity=0.48484848484848486)",0.045454545,0.484848485,8
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,9
Victory is not winning for our party.,"Sentiment(polarity=-0.25, subjectivity=0.75)",-0.25,0.75,10
Victory is winning for our country.,"Sentiment(polarity=0.5, subjectivity=0.75)",0.5,0.75,11
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,12
"This year, America will recognize two important anniversaries that show us the majesty of America's mission and the power of American pride.","Sentiment(polarity=0.2, subjectivity=0.5)",0.2,0.5,13
"In June, we mark 75 years since the start of what General Dwight D. Eisenhower called the ""Great Crusade"" � the Allied liberation of Europe in World War II.","Sentiment(polarity=0.42500000000000004, subjectivity=0.625)",0.425,0.625,14
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,15
"On D-Day, June 6th, 1944, 15,000 young American men jumped from the sky, and 60,000 more stormed in from the sea, to save our civilization from tyranny.","Sentiment(polarity=0.19999999999999998, subjectivity=0.3)",0.2,0.3,16
"Here with us tonight are three of those incredible heroes: Private First Class Joseph Reilly, Staff Sergeant Irving Locker, and Sergeant Herman Zeitchik.","Sentiment(polarity=0.3833333333333333, subjectivity=0.5361111111111111)",0.383333333,0.536111111,17
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,18
Please.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,19
