sentence,sentiment,polarity,subjectivity
"
Mr. President and Mr. Speaker and Members of the United States Congress:
I come to this House of the people to speak to you and all Americans, certain that we stand at a defining hour.","Sentiment(polarity=0.21428571428571427, subjectivity=0.5714285714285714)",0.21428571428571427,0.5714285714285714
"Halfway around the world, we are engaged in a great struggle in the skies and on the seas and sands.","Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
"We know why we're there: We are Americans, part of something larger than ourselves.","Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
"For two centuries, we've done the hard work of freedom.","Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)",-0.2916666666666667,0.5416666666666666
"And tonight, we lead the world in facing down a threat to decency and humanity.","Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",-0.1555555555555556,0.2888888888888889
"What is at stake is more than one small country; it is a big idea: a new world order, where diverse nations are drawn together in common cause to achieve the universal aspirations of mankind -- peace and security, freedom, and the rule of law.","Sentiment(polarity=0.014393939393939395, subjectivity=0.32575757575757575)",0.014393939393939396,0.3257575757575757
Such is a world worthy of our struggle and worthy of our children's future.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.65625)",0.16666666666666666,0.65625
The community of nations has resolutely gathered to condemn and repel lawless aggression.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Saddam Hussein's unprovoked invasion -- his ruthless, systematic rape of a peaceful neighbor -- violated everything the community of nations holds dear.","Sentiment(polarity=-0.375, subjectivity=0.75)",-0.375,0.75
"The world has said this aggression would not stand, and it will not stand.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Together, we have resisted the trap of appeasement, cynicism, and isolation that gives temptation to tyrants.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"The world has answered Saddam's invasion with 12 United Nations resolutions, starting with a demand for Iraq's immediate and unconditional withdrawal, and backed up by forces from 28 countries of 6 continents.","Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1
"With few exceptions, the world now stands as one.","Sentiment(polarity=-0.2, subjectivity=0.1)",-0.2,0.1
The end of the cold war has been a victory for all humanity.,"Sentiment(polarity=-0.6, subjectivity=1.0)",-0.6,1.0
"A year and a half ago, in Germany, I said that our goal was a Europe whole and free.","Sentiment(polarity=0.14444444444444446, subjectivity=0.45555555555555555)",0.14444444444444446,0.4555555555555556
"Tonight, Germany is united.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Europe has become whole and free, and America's leadership was instrumental in making it possible.","Sentiment(polarity=0.20000000000000004, subjectivity=0.7333333333333334)",0.20000000000000004,0.7333333333333334
"Our relationship to the Soviet Union is important, not only to us but to the world.","Sentiment(polarity=0.2, subjectivity=1.0)",0.2,1.0
That relationship has helped to shape these and other historic changes.,"Sentiment(polarity=-0.0625, subjectivity=0.1875)",-0.0625,0.1875
"But like many other nations, we have been deeply concerned by the violence in the Baltics, and we have communicated that concern to the Soviet leadership.","Sentiment(polarity=0.125, subjectivity=0.425)",0.125,0.425
"The principle that has guided us is simple: Our objective is to help the Baltic peoples achieve their aspirations, not to punish the Soviet Union.","Sentiment(polarity=0.0, subjectivity=0.2285714285714286)",0.0,0.2285714285714286
"In our recent discussions with the Soviet leadership we have been given representations which, if fulfilled, would result in the withdrawal of some Soviet forces, a reopening of dialog with the Republics, and a move away from violence.","Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25
We will watch carefully as the situation develops.,"Sentiment(polarity=-0.1, subjectivity=1.0)",-0.1,1.0
And we will maintain our contact with the Soviet leadership to encourage continued commitment to democratization and reform.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"If it is possible, I want to continue to build a lasting basis for U.S.-Soviet cooperation -- for a more peaceful future for all mankind.","Sentiment(polarity=0.15, subjectivity=0.425)",0.15,0.425
The triumph of democratic ideas in Eastern Europe and Latin America and the continuing struggle for freedom elsewhere all around the world all confirm the wisdom of our nation's founders.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"Tonight, we work to achieve another victory, a victory over tyranny and savage aggression.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"We in this Union enter the last decade of the 20th century thankful for our blessings, steadfast in our purpose, aware of our difficulties, and responsive to our duties at home and around the world.","Sentiment(polarity=0.1625, subjectivity=0.2791666666666667)",0.1625,0.2791666666666667
"For two centuries, America has served the world as an inspiring example of freedom and democracy.","Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0
"For generations, America has led the struggle to preserve and extend the blessings of liberty.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"And today, in a rapidly changing world, American leadership is indispensable.","Sentiment(polarity=0.2, subjectivity=0.45)",0.2,0.45
Americans know that leadership brings burdens and sacrifices.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
But we also know why the hopes of humanity turn to us.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
